Time - Voltage,Pen tracing
1.012,0.72287
1.013,0.63334
1.014,0.66168
1.015,0.610796
1.016,0.555081
1.017,0.552504
1.018,0.546708
1.019,0.50323
1.02,0.504197
1.021,0.426904
1.022,0.430769
1.023,0.329966
1.024,0.426582
1.025,0.391478
1.026,0.460075
1.027,0.433345
1.028,0.395021
1.029,0.394055
1.03,0.349611
1.031,0.391478
1.032,0.355408
1.033,0.421751
1.034,0.403394
1.035,0.463618
1.036,0.440752
1.037,0.491637
1.038,0.462974
1.039,0.493247
1.04,0.506129
1.041,0.495501
1.042,0.551216
1.043,0.539622
1.044,0.597914
1.045,0.56442
1.046,0.734464
1.047,0.676817
1.048,0.714175
1.049,0.711276
1.05,0.757974
1.051,0.762483
1.052,0.860709
1.053,0.847505
1.054,0.931883
1.055,0.949273
1.056,1.01111
1.057,0.954426
1.058,1.04782
1.059,1.06199
1.06,1.10805
1.061,1.1235
1.062,1.15957
1.063,1.20208
1.064,1.15056
1.065,1.19629
1.066,1.17213
1.067,1.23043
1.068,1.21754
1.069,1.25329
1.07,1.25007
1.071,1.2855
1.072,1.3045
1.073,1.28614
1.074,1.27197
1.075,1.22882
1.076,1.23751
1.077,1.22946
1.078,1.13349
1.079,1.18824
1.08,1.19629
1.081,1.13993
1.082,1.18437
1.083,1.1016
1.084,1.15184
1.085,1.07037
1.086,1.06425
1.087,1.0417
1.088,1.07165
1.089,1.07326
1.09,0.941866
1.091,0.958935
1.092,0.865862
1.093,0.847505
1.094,0.803061
1.095,0.816588
1.096,0.758296
1.097,0.787603
1.098,0.744126
1.099,0.756364
1.1,0.662002
1.101,0.63656
1.102,0.581489
1.103,0.590185
1.104,0.581811
1.105,0.507417
1.106,0.555725
1.107,0.492603
1.108,0.55186
1.109,0.512248
1.11,0.50323
1.111,0.472635
1.112,0.459431
1.113,0.471347
1.114,0.513214
1.115,0.475534
1.116,0.52674
1.117,0.501298
1.118,0.549606
1.119,0.572472
1.12,0.508705
1.121,0.59727
1.122,0.563776
1.123,0.6459
1.124,0.63334
1.125,0.679393
1.126,0.652019
1.127,0.67424
1.128,0.684546
1.129,0.723514
1.13,0.690987
1.131,0.766992
1.132,0.784382
1.133,0.846861
1.134,0.86876
1.135,0.945409
1.136,0.959901
1.137,1.0037
1.138,1.04718
1.139,1.05265
1.14,1.14476
1.141,1.06553
1.142,1.16698
1.143,1.16408
1.144,1.24427
1.145,1.19049
1.146,1.2636
1.147,1.26714
1.148,1.3119
1.149,1.34153
1.15,1.28968
1.151,1.30031
1.152,1.37825
1.153,1.36182
1.154,1.39532
1.155,1.38855
1.156,1.38147
1.157,1.41657
1.158,1.23526
1.159,1.3206
1.16,1.2037
1.161,1.2855
1.162,1.22882
1.163,1.23751
1.164,1.28324
1.165,1.20434
1.166,1.26939
1.167,1.13317
1.168,1.16054
1.169,1.12769
1.17,1.14476
1.171,1.10354
1.172,1.08872
1.173,1.02013
1.174,1.06811
1.175,0.94251
1.176,0.994683
1.177,0.878744
1.178,0.935747
1.179,0.880998
1.18,0.867472
1.181,0.828182
1.182,0.747668
1.183,0.790179
1.184,0.734786
1.185,0.679071
1.186,0.639459
1.187,0.617881
1.188,0.62239
1.189,0.591473
1.19,0.582455
1.191,0.621746
1.192,0.564742
1.193,0.547352
1.194,0.470059
1.195,0.511604
1.196,0.517723
1.197,0.543809
1.198,0.587286
1.199,0.547674
1.2,0.575048
1.201,0.579235
1.202,0.616915
1.203,0.548962
1.204,0.616271
1.205,0.640747
1.206,0.705802
1.207,0.67102
1.208,0.757008
1.209,0.705802
1.21,0.748635
1.211,0.712243
1.212,0.761195
1.213,0.762161
1.214,0.76828
1.215,0.823351
1.216,0.859099
1.217,0.938324
1.218,0.918356
1.219,0.98792
1.22,0.980513
1.221,1.0198
1.222,1.07423
1.223,1.09355
1.224,1.10708
1.225,1.18663
1.226,1.19919
1.227,1.26746
1.228,1.2359
1.229,1.25361
1.23,1.26875
1.231,1.34153
1.232,1.33155
1.233,1.32962
1.234,1.36472
1.235,1.35442
1.236,1.39499
1.237,1.3995
1.238,1.38115
1.239,1.31738
1.24,1.34669
1.241,1.33992
1.242,1.25426
1.243,1.30224
1.244,1.29773
1.245,1.25361
1.246,1.24363
1.247,1.16215
1.248,1.22012
1.249,1.18759
1.25,1.1673
1.251,1.19114
1.252,1.11932
1.253,1.21561
1.254,1.06843
1.255,1.13993
1.256,1.03591
1.257,1.03752
1.258,0.977292
1.259,0.965698
1.26,0.973105
1.261,0.921899
1.262,0.900321
1.263,0.860709
1.264,0.83108
1.265,0.792112
1.266,0.753787
1.267,0.702259
1.268,0.729633
1.269,0.649442
1.27,0.686478
1.271,0.57698
1.272,0.634628
1.273,0.583422
1.274,0.610152
1.275,0.5612
1.276,0.530927
1.277,0.582777
1.278,0.527384
1.279,0.507095
1.28,0.532859
1.281,0.606931
1.282,0.553149
1.283,0.607898
1.284,0.584066
1.285,0.655883
1.286,0.637848
1.287,0.670698
1.288,0.626899
1.289,0.677461
1.29,0.658782
1.291,0.646222
1.292,0.70709
1.293,0.700649
1.294,0.754754
1.295,0.738007
1.296,0.760551
1.297,0.780518
1.298,0.867472
1.299,0.877456
1.3,0.948307
1.301,0.923831
1.302,1.00434
1.303,1.0256
1.304,1.01433
1.305,1.05781
1.306,1.12383
1.307,1.1351
1.308,1.16634
1.309,1.2008
1.31,1.2417
1.311,1.31545
1.312,1.31674
1.313,1.32092
1.314,1.30868
1.315,1.33284
1.316,1.35345
1.317,1.3995
1.318,1.36472
1.319,1.41979
1.32,1.4301
1.321,1.43139
1.322,1.30707
1.323,1.38243
1.324,1.37567
1.325,1.36859
1.326,1.37052
1.327,1.32124
1.328,1.36987
1.329,1.27938
1.33,1.26521
1.331,1.15088
1.332,1.23236
1.333,1.17278
1.334,1.20434
1.335,1.18566
1.336,1.1731
1.337,1.22012
1.338,1.14895
1.339,1.04943
1.34,1.04106
1.341,0.990818
1.342,1.00982
1.343,0.959901
1.344,0.910305
1.345,0.95185
1.346,0.829792
1.347,0.861353
1.348,0.772789
1.349,0.821741
1.35,0.722226
1.351,0.76828
1.352,0.692919
1.353,0.681648
1.354,0.663613
1.355,0.635594
1.356,0.61305
1.357,0.608864
1.358,0.547996
1.359,0.556047
1.36,0.581489
1.361,0.58471
1.362,0.617881
1.363,0.583422
1.364,0.583422
1.365,0.561844
1.366,0.597914
1.367,0.570539
1.368,0.654917
1.369,0.641069
1.37,0.623034
1.371,0.650086
1.372,0.665867
1.373,0.671342
1.374,0.669732
1.375,0.721904
1.376,0.703869
1.377,0.793078
1.378,0.808214
1.379,0.805316
1.38,0.801451
1.381,0.882931
1.382,0.860065
1.383,0.945731
1.384,0.909983
1.385,0.976648
1.386,1.00209
1.387,1.04589
1.388,1.12962
1.389,1.12995
1.39,1.17535
1.391,1.16473
1.392,1.24105
1.393,1.22173
1.394,1.28324
1.395,1.28678
1.396,1.35796
1.397,1.3483
1.398,1.38404
1.399,1.34604
1.4,1.40691
1.401,1.37245
1.402,1.40659
1.403,1.42688
1.404,1.37857
1.405,1.45908
1.406,1.37084
1.407,1.39403
1.408,1.32608
1.409,1.37181
1.41,1.31867
1.411,1.30289
1.412,1.31996
1.413,1.29645
1.414,1.28872
1.415,1.2607
1.416,1.2388
1.417,1.26778
1.418,1.24202
1.419,1.18663
1.42,1.22495
1.421,1.12769
1.422,1.16022
1.423,1.04299
1.424,1.05394
1.425,0.984377
1.426,1.0227
1.427,0.956359
1.428,0.919
1.429,0.902576
1.43,0.880676
1.431,0.848793
1.432,0.797587
1.433,0.763127
1.434,0.752177
1.435,0.715141
1.436,0.661036
1.437,0.69775
1.438,0.636882
1.439,0.673918
1.44,0.612084
1.441,0.630763
1.442,0.586964
1.443,0.652663
1.444,0.575692
1.445,0.629475
1.446,0.63656
1.447,0.664579
1.448,0.703547
1.449,0.617237
1.45,0.678427
1.451,0.637526
1.452,0.717395
1.453,0.662969
1.454,0.727057
1.455,0.7087
1.456,0.696784
1.457,0.75733
1.458,0.733176
1.459,0.677139
1.46,0.759906
1.461,0.748313
1.462,0.781806
1.463,0.788247
1.464,0.831724
1.465,0.919
1.466,0.920611
1.467,0.936391
1.468,0.949273
1.469,1.0256
1.47,1.01143
1.471,1.14186
1.472,1.14154
1.473,1.20595
1.474,1.16022
1.475,1.22978
1.476,1.21432
1.477,1.24943
1.478,1.24846
1.479,1.29838
1.48,1.32994
1.481,1.3644
1.482,1.39564
1.483,1.36698
1.484,1.40755
1.485,1.3966
1.486,1.40755
1.487,1.41464
1.488,1.43557
1.489,1.40369
1.49,1.43139
1.491,1.39113
1.492,1.38501
1.493,1.29709
1.494,1.36182
1.495,1.29838
